id,nombre,descripcion,direccion,latitud,longitud,fecha_inicio,hora_inicio,fecha_fin,hora_fin,tipo_intervencion,tipo_afectacion,titularidad,impacto_pmr,notas
AFEC-0011,Mantenimiento de infraestructura urbana,Corte de carril con regulación temporal del paso de vehículos.,av. de andalucia,36.718294,-4.428434,2026-02-28,18:00,2026-02-28,22:00,mantenimiento,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0012,Evento con afección al tráfico,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle granada,36.723361,-4.418997,2026-01-11,08:00,2026-01-11,11:00,evento,ocupacion_calzada,Promotor privado autorizado,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0013,Limpieza técnica de calzada,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle marmoles,36.720017,-4.427988,2026-02-16,07:00,2026-02-16,12:00,mantenimiento,ocupacion_calzada,Área de Urbanismo,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0014,Reurbanización de tramo viario,Paso regulado mediante señalización provisional.,calle hilera,36.716985,-4.426874,2026-03-26,18:00,2026-03-27,06:00,obra,restriccion_paso,Promotor privado autorizado,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0015,Corte temporal por actividad deportiva,Ocupación parcial de calzada con reducción de capacidad vial.,calle carreteria,36.724361,-4.424042,2026-01-30,10:00,2026-01-30,15:00,evento,ocupacion_calzada,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0016,Canalización subterránea,Paso regulado mediante señalización provisional.,paseo del parque,36.719545,-4.416166,2026-03-23,08:00,2026-03-23,14:00,obra,restriccion_paso,Empresa Municipal de Transportes,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0017,Dispositivo especial por evento cultural,Limitación de acceso durante una franja horaria concreta.,alameda principal,36.719087,-4.421079,2026-01-27,07:00,2026-01-27,12:00,evento,restriccion_paso,Empresa Municipal de Transportes,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0018,Reparación de alumbrado público,Interrupción parcial o total de la circulación durante la intervención.,calle bolsa,36.719132,-4.420687,2026-03-24,10:00,2026-03-24,13:00,mantenimiento,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0019,Reposición de firme,Corte de carril con regulación temporal del paso de vehículos.,calle hilera,36.716298,-4.426288,2026-02-01,08:00,2026-02-02,20:00,obra,corte_trafico,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0020,Obra de renovación de calzada,Ocupación parcial de calzada con reducción de capacidad vial.,calle marmoles,36.719460,-4.428095,2026-03-23,17:00,2026-03-25,05:00,obra,ocupacion_calzada,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0021,Ocupación de vía por acto público,Paso regulado mediante señalización provisional.,av. de andalucia,36.718146,-4.430770,2026-01-08,17:00,2026-01-08,19:00,evento,restriccion_paso,Policía Local,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0022,Canalización subterránea,Ocupación parcial de acera con itinerario peatonal alternativo.,alameda principal,36.718245,-4.421636,2026-02-21,08:00,2026-02-21,14:00,obra,ocupacion_acera,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0023,Mantenimiento de infraestructura urbana,Afección temporal al tránsito peatonal en el entorno.,calle marmoles,36.719865,-4.428635,2026-03-14,07:00,2026-03-14,09:00,mantenimiento,ocupacion_acera,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0024,Ocupación de vía por acto público,Corte de carril con regulación temporal del paso de vehículos.,paseo del parque,36.718243,-4.415470,2026-03-05,08:00,2026-03-05,12:00,evento,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0025,Obra de renovación de calzada,Estrechamiento temporal del vial por intervención en calzada.,calle hilera,36.716775,-4.427190,2026-01-19,07:00,2026-01-19,13:00,obra,ocupacion_calzada,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0026,Reparación de alumbrado público,Limitación de acceso durante una franja horaria concreta.,calle carreteria,36.723377,-4.423799,2026-03-10,07:00,2026-03-10,12:00,mantenimiento,restriccion_paso,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0027,Corte temporal por actividad deportiva,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle granada,36.723239,-4.420097,2026-03-16,08:00,2026-03-16,10:00,evento,ocupacion_calzada,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0028,Evento con afección al tráfico,Reducción del paso peatonal durante la intervención.,calle granada,36.723051,-4.419092,2026-03-07,10:00,2026-03-07,14:00,evento,ocupacion_acera,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0029,Regulación especial por procesión,Corte de carril con regulación temporal del paso de vehículos.,calle bolsa,36.718920,-4.420564,2026-01-15,08:00,2026-01-15,10:00,evento,corte_trafico,Contrata municipal,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0030,Reparación de alumbrado público,Interrupción parcial o total de la circulación durante la intervención.,calle bolsa,36.719972,-4.421087,2026-02-24,10:00,2026-02-24,13:00,mantenimiento,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0031,Ocupación de vía por acto público,Interrupción parcial o total de la circulación durante la intervención.,calle granada,36.722822,-4.418620,2026-03-01,07:00,2026-03-01,10:00,evento,corte_trafico,Empresa Municipal de Transportes,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0032,Regulación especial por procesión,Corte de carril con regulación temporal del paso de vehículos.,calle bolsa,36.719763,-4.420637,2026-01-02,08:00,2026-01-02,10:00,evento,corte_trafico,Contrata municipal,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0033,Obra de renovación de calzada,Interrupción parcial o total de la circulación durante la intervención.,calle hilera,36.716819,-4.425666,2026-03-10,10:00,2026-03-11,22:00,obra,corte_trafico,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0034,Mejora de acerado y pavimento,Afección temporal al tránsito peatonal en el entorno.,av. de andalucia,36.718132,-4.429718,2026-01-15,07:00,2026-01-16,19:00,obra,ocupacion_acera,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0035,Mejora de acerado y pavimento,Interrupción parcial o total de la circulación durante la intervención.,alameda principal,36.718206,-4.421731,2026-02-03,08:00,2026-02-03,14:00,obra,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0036,Intervención de movilidad táctica,Ocupación parcial de calzada con reducción de capacidad vial.,calle marmoles,36.720193,-4.429177,2026-01-14,10:00,2026-01-14,14:00,actuación_municipal,ocupacion_calzada,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0037,Obra de renovación de calzada,Corte de carril con regulación temporal del paso de vehículos.,av. de andalucia,36.717395,-4.430723,2026-03-06,17:00,2026-03-09,17:00,obra,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0038,Ocupación de vía por acto público,Estrechamiento temporal del vial por intervención en calzada.,calle bolsa,36.720390,-4.420069,2026-01-21,17:00,2026-01-21,21:00,evento,ocupacion_calzada,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0039,Canalización subterránea,Estrechamiento temporal del vial por intervención en calzada.,calle bolsa,36.719750,-4.421102,2026-01-01,18:00,2026-01-04,18:00,obra,ocupacion_calzada,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0040,Mantenimiento de señalización vial,Interrupción parcial o total de la circulación durante la intervención.,alameda principal,36.718938,-4.421532,2026-02-16,22:00,2026-02-17,06:00,mantenimiento,corte_trafico,Área de Urbanismo,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0041,Ocupación de vía por acto público,Corte de carril con regulación temporal del paso de vehículos.,av. de andalucia,36.717845,-4.429775,2026-01-31,18:00,2026-01-31,21:00,evento,corte_trafico,Promotor privado autorizado,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0042,Reurbanización de tramo viario,Ocupación parcial de acera con itinerario peatonal alternativo.,av. de andalucia,36.717280,-4.429908,2026-01-11,18:00,2026-01-12,00:00,obra,ocupacion_acera,Policía Local,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0043,Obra de renovación de calzada,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",alameda principal,36.718990,-4.421614,2026-03-10,18:00,2026-03-11,00:00,obra,ocupacion_calzada,Área de Movilidad del Ayuntamiento,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0044,Mantenimiento de infraestructura urbana,Limitación de acceso durante una franja horaria concreta.,calle granada,36.721690,-4.419096,2026-03-12,18:00,2026-03-12,20:00,mantenimiento,restriccion_paso,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0045,Mantenimiento de señalización vial,Ocupación parcial de calzada con reducción de capacidad vial.,calle granada,36.724255,-4.418205,2026-02-24,13:00,2026-02-24,18:00,mantenimiento,ocupacion_calzada,Área de Urbanismo,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0046,Mantenimiento de señalización vial,Corte de carril con regulación temporal del paso de vehículos.,calle hilera,36.716473,-4.426357,2026-03-30,10:00,2026-03-30,15:00,mantenimiento,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0047,Actuación municipal de mejora urbana,Corte de carril con regulación temporal del paso de vehículos.,calle carreteria,36.724636,-4.423279,2026-03-25,22:00,2026-03-26,06:00,actuación_municipal,corte_trafico,Área de Movilidad del Ayuntamiento,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0048,Mantenimiento de infraestructura urbana,Corte de carril con regulación temporal del paso de vehículos.,calle granada,36.722315,-4.418919,2026-01-16,18:00,2026-01-16,23:00,mantenimiento,corte_trafico,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0049,Actuación municipal de mejora urbana,Ocupación parcial de calzada con reducción de capacidad vial.,calle carreteria,36.724126,-4.424826,2026-03-17,17:00,2026-03-18,05:00,actuación_municipal,ocupacion_calzada,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0050,Mejora de acerado y pavimento,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",av. de andalucia,36.718628,-4.431196,2026-01-10,13:00,2026-01-13,13:00,obra,ocupacion_calzada,Promotor privado autorizado,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0051,Obra de renovación de calzada,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",alameda principal,36.719140,-4.421706,2026-01-05,18:00,2026-01-06,00:00,obra,ocupacion_calzada,Área de Movilidad del Ayuntamiento,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0052,Obra de renovación de calzada,Corte de carril con regulación temporal del paso de vehículos.,calle carreteria,36.724037,-4.424346,2026-02-05,13:00,2026-02-05,17:00,obra,corte_trafico,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0053,Evento con afección al tráfico,Interrupción parcial o total de la circulación durante la intervención.,alameda principal,36.717583,-4.421756,2026-03-15,07:00,2026-03-15,10:00,evento,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0054,Mantenimiento de infraestructura urbana,Limitación de acceso durante una franja horaria concreta.,calle granada,36.721731,-4.419785,2026-02-22,18:00,2026-02-22,20:00,mantenimiento,restriccion_paso,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0055,Reordenación provisional del tráfico,Ocupación parcial de acera con itinerario peatonal alternativo.,calle carreteria,36.723974,-4.424764,2026-02-15,18:00,2026-02-16,00:00,actuación_municipal,ocupacion_acera,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0056,Mantenimiento de infraestructura urbana,Corte de carril con regulación temporal del paso de vehículos.,av. de andalucia,36.718513,-4.428416,2026-01-07,18:00,2026-01-07,22:00,mantenimiento,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0057,Mejora de acerado y pavimento,Paso regulado mediante señalización provisional.,calle hilera,36.717535,-4.427491,2026-01-08,18:00,2026-01-08,22:00,obra,restriccion_paso,Área de Urbanismo,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0058,Regulación especial por procesión,Corte de carril con regulación temporal del paso de vehículos.,calle bolsa,36.719073,-4.420516,2026-01-14,08:00,2026-01-14,10:00,evento,corte_trafico,Contrata municipal,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0059,Reparación de alumbrado público,Corte temporal de tráfico con desvío alternativo señalizado.,calle carreteria,36.723339,-4.425344,2026-01-18,13:00,2026-01-18,17:00,mantenimiento,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0060,Ocupación de vía por acto público,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",alameda principal,36.718219,-4.421626,2026-01-10,18:00,2026-01-11,00:00,evento,ocupacion_calzada,Contrata municipal,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0061,Intervención de movilidad táctica,Interrupción parcial o total de la circulación durante la intervención.,calle bolsa,36.719402,-4.419301,2026-01-13,00:00,2026-01-13,03:00,actuación_municipal,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0062,Regulación especial por procesión,Corte de carril con regulación temporal del paso de vehículos.,calle carreteria,36.724161,-4.423362,2026-01-02,17:00,2026-01-02,22:00,evento,corte_trafico,Promotor privado autorizado,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0063,Revisión de arquetas,Corte temporal de tráfico con desvío alternativo señalizado.,calle bolsa,36.718783,-4.420909,2026-01-31,00:00,2026-01-31,04:00,mantenimiento,corte_trafico,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0064,Regulación especial por procesión,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle carreteria,36.725307,-4.424608,2026-02-21,13:00,2026-02-21,19:00,evento,ocupacion_calzada,Área de Movilidad del Ayuntamiento,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0065,Mejora de acerado y pavimento,Interrupción parcial o total de la circulación durante la intervención.,alameda principal,36.717075,-4.421695,2026-02-19,08:00,2026-02-19,14:00,obra,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0066,Canalización subterránea,Paso regulado mediante señalización provisional.,paseo del parque,36.718887,-4.414894,2026-02-06,08:00,2026-02-06,14:00,obra,restriccion_paso,Empresa Municipal de Transportes,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0067,Reurbanización de tramo viario,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle carreteria,36.724653,-4.424064,2026-03-13,10:00,2026-03-13,22:00,obra,ocupacion_calzada,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0068,Canalización subterránea,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle hilera,36.716951,-4.426775,2026-02-07,08:00,2026-02-08,20:00,obra,ocupacion_calzada,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0069,Canalización subterránea,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",av. de andalucia,36.716537,-4.430196,2026-03-11,10:00,2026-03-12,22:00,obra,ocupacion_calzada,Promotor privado autorizado,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0070,Reparación de alumbrado público,Ocupación parcial de calzada con reducción de capacidad vial.,paseo del parque,36.718348,-4.415321,2026-03-16,07:00,2026-03-16,11:00,mantenimiento,ocupacion_calzada,Área de Movilidad del Ayuntamiento,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0071,Canalización subterránea,Estrechamiento temporal del vial por intervención en calzada.,calle bolsa,36.718883,-4.421071,2026-01-21,18:00,2026-01-24,18:00,obra,ocupacion_calzada,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0072,Revisión de arquetas,Corte temporal de tráfico con desvío alternativo señalizado.,calle bolsa,36.718627,-4.421577,2026-01-24,00:00,2026-01-24,04:00,mantenimiento,corte_trafico,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0073,Regulación especial por procesión,Corte de carril con regulación temporal del paso de vehículos.,calle bolsa,36.719321,-4.419313,2026-01-31,08:00,2026-01-31,10:00,evento,corte_trafico,Contrata municipal,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0074,Reordenación provisional del tráfico,Ocupación parcial de calzada con reducción de capacidad vial.,calle granada,36.723393,-4.420057,2026-02-01,18:00,2026-02-01,22:00,actuación_municipal,ocupacion_calzada,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0075,Corte temporal por actividad deportiva,Ocupación parcial de calzada con reducción de capacidad vial.,calle carreteria,36.724027,-4.423746,2026-02-23,10:00,2026-02-23,15:00,evento,ocupacion_calzada,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0076,Canalización subterránea,Ocupación parcial de acera con itinerario peatonal alternativo.,alameda principal,36.718144,-4.420828,2026-02-03,08:00,2026-02-03,14:00,obra,ocupacion_acera,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0077,Actuación municipal de mejora urbana,Ocupación parcial de calzada con reducción de capacidad vial.,calle hilera,36.716437,-4.425746,2026-02-03,13:00,2026-02-03,19:00,actuación_municipal,ocupacion_calzada,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0078,Canalización subterránea,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle hilera,36.717297,-4.425428,2026-02-28,10:00,2026-03-02,10:00,obra,ocupacion_calzada,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0079,Revisión de arquetas,Estrechamiento temporal del vial por intervención en calzada.,calle carreteria,36.723390,-4.423559,2026-01-02,08:00,2026-01-02,10:00,mantenimiento,ocupacion_calzada,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0080,Mejora de acerado y pavimento,Paso regulado mediante señalización provisional.,calle hilera,36.717751,-4.427225,2026-01-10,18:00,2026-01-10,22:00,obra,restriccion_paso,Área de Urbanismo,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0081,Evento con afección al tráfico,Interrupción parcial o total de la circulación durante la intervención.,alameda principal,36.718070,-4.420738,2026-02-14,07:00,2026-02-14,10:00,evento,corte_trafico,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0082,Reordenación provisional del tráfico,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle bolsa,36.718899,-4.420427,2026-02-06,07:00,2026-02-06,11:00,actuación_municipal,ocupacion_calzada,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0083,Evento con afección al tráfico,Ocupación parcial de acera con itinerario peatonal alternativo.,calle hilera,36.716451,-4.426069,2026-02-08,10:00,2026-02-08,13:00,evento,ocupacion_acera,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0084,Ocupación de vía por acto público,Corte de carril con regulación temporal del paso de vehículos.,paseo del parque,36.717623,-4.415626,2026-03-09,08:00,2026-03-09,12:00,evento,corte_trafico,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0085,Canalización subterránea,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",calle hilera,36.716957,-4.425226,2026-03-26,10:00,2026-03-28,10:00,obra,ocupacion_calzada,Área de Urbanismo,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0086,Mantenimiento de infraestructura urbana,Estrechamiento temporal del vial por intervención en calzada.,paseo del parque,36.719414,-4.416383,2026-01-15,08:00,2026-01-15,12:00,mantenimiento,ocupacion_calzada,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0087,Actuación de accesibilidad peatonal,Ocupación parcial de calzada con reducción de capacidad vial.,av. de andalucia,36.717800,-4.430349,2026-02-04,18:00,2026-02-05,02:00,actuación_municipal,ocupacion_calzada,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0088,Mejora de acerado y pavimento,Afección temporal al tránsito peatonal en el entorno.,av. de andalucia,36.718762,-4.428606,2026-01-27,07:00,2026-01-28,19:00,obra,ocupacion_acera,Servicio de Mantenimiento Urbano,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0089,Intervención de movilidad táctica,Ocupación parcial de calzada con reducción de capacidad vial.,calle marmoles,36.719202,-4.428202,2026-03-04,10:00,2026-03-04,14:00,actuación_municipal,ocupacion_calzada,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0090,Mejora de acerado y pavimento,Ocupación parcial de acera con itinerario peatonal alternativo.,calle hilera,36.716839,-4.425477,2026-01-12,18:00,2026-01-15,18:00,obra,ocupacion_acera,Policía Local,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0091,Reurbanización de tramo viario,Paso regulado mediante señalización provisional.,calle hilera,36.717154,-4.427128,2026-01-01,18:00,2026-01-02,06:00,obra,restriccion_paso,Promotor privado autorizado,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0092,Mantenimiento de infraestructura urbana,Estrechamiento temporal del vial por intervención en calzada.,paseo del parque,36.719176,-4.416688,2026-01-21,08:00,2026-01-21,12:00,mantenimiento,ocupacion_calzada,Área de Movilidad del Ayuntamiento,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0093,Mejora de acerado y pavimento,Estrechamiento temporal del vial por intervención en calzada.,calle granada,36.721708,-4.420027,2026-03-13,08:00,2026-03-16,08:00,obra,ocupacion_calzada,Empresa Municipal de Transportes,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0094,Obra de renovación de calzada,Interrupción parcial o total de la circulación durante la intervención.,calle hilera,36.717064,-4.426023,2026-03-30,10:00,2026-03-31,22:00,obra,corte_trafico,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0095,Revisión de arquetas,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",alameda principal,36.717714,-4.421961,2026-02-17,08:00,2026-02-17,12:00,mantenimiento,ocupacion_calzada,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0096,Instalación de mobiliario urbano,Corte temporal de tráfico con desvío alternativo señalizado.,calle marmoles,36.720240,-4.427815,2026-01-06,17:00,2026-01-06,23:00,actuación_municipal,corte_trafico,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0097,Obra de renovación de calzada,Ocupación parcial de calzada con reducción de capacidad vial.,alameda principal,36.718977,-4.421560,2026-01-06,17:00,2026-01-08,05:00,obra,ocupacion_calzada,Contrata municipal,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0098,Ocupación de vía por acto público,"Reserva de carril para maquinaria, vehículos técnicos o trabajos urbanos.",alameda principal,36.717674,-4.421756,2026-03-27,18:00,2026-03-28,00:00,evento,ocupacion_calzada,Contrata municipal,si,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0099,Obra de renovación de calzada,Interrupción parcial o total de la circulación durante la intervención.,calle hilera,36.717176,-4.425697,2026-02-22,10:00,2026-02-23,22:00,obra,corte_trafico,Empresa Municipal de Transportes,no,Registro sintético generado para análisis de impacto sobre movilidad.
AFEC-0100,Obra de renovación de calzada,Ocupación parcial de calzada con reducción de capacidad vial.,calle marmoles,36.719742,-4.426884,2026-01-31,17:00,2026-02-02,05:00,obra,ocupacion_calzada,Policía Local,si,Registro sintético generado para análisis de impacto sobre movilidad.
